laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (02-01-2022 10:01:59 ... 05-18-2022 11:01:59)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
03-15-2022 16:00:59,'valor cambió Prueba de aspersión - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:01:09,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por jm (thats me)
03-15-2022 16:14:15,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por jm (thats me)
03-15-2022 16:14:46,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por jm (thats me)
03-15-2022 16:15:42,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por jm (thats me)
03-15-2022 16:16:28,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por jm (thats me)
03-15-2022 16:17:08,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:17:17,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Inflar a Desinflar - por jm (thats me)
03-15-2022 16:18:37,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:18:49,'valor cambió Cabrestante ABAJO - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:18:54,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por jm (thats me)
03-15-2022 16:20:32,'valor cambió Cabrestante ABAJO - Mando Desde Encendido a Apagado - por jm (thats me)
03-15-2022 16:20:33,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:20:35,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por jm (thats me)
03-15-2022 16:20:57,'valor cambió Prueba de aspersión - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:21:02,'valor cambió Prueba de aspersión - Mando Desde Encendido a Apagado - por jm (thats me)
03-15-2022 16:23:16,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por jm (thats me)
03-15-2022 16:25:28,'valor cambió Corriente del motor del cabrestante (E204890) - Límite de alarma máximo Desde 2.10 A a 0.50 A - por jm (thats me)
03-15-2022 16:25:36,'valor cambió Cabrestante ABAJO - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:25:37,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por jm (thats me)
03-15-2022 16:26:39,'valor cambió Corriente del motor del cabrestante (E204890) - Límite de alarma máximo Desde 0.50 A a 2.10 A - por jm (thats me)
03-15-2022 16:26:49,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 16:26:50,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por jm (thats me)
03-15-2022 16:26:54,'valor cambió Corriente del motor del cabrestante (E204890) - Límite de alarma máximo Desde 2.10 A a 0.50 A - por jm (thats me)
