laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (01-29-2025 05:48:48 ... 02-05-2025 06:48:48)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
01-29-2025 22:46:18,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:22,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:28,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:32,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:37,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:41,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:47,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:52,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:47:25,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:47:40,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:51:43,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:51:55,'valor cambió Preselección de limpieza del filtro 1 - Mando Desde  a  - por linaro (Lina Rios Otalvaro)
01-29-2025 22:52:36,'valor cambió Preselección de limpieza del filtro 1 - Mando Desde  a  - por linaro (Lina Rios Otalvaro)
01-29-2025 22:53:14,'valor cambió Preselección de limpieza del filtro 1 - Mando Desde  a  - por linaro (Lina Rios Otalvaro)
01-29-2025 22:56:02,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 22:56:10,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
